,Index,Author,Date published,Category,Section,Url,Headline,Description,Keywords,Second headline,Article text,word_count
0,7,Reuters,2022-03-15 11:27:02,business,business,https://www.cnn.com/2022/03/15/business/russia-europe-sanctions-energy/index.html,Russian energy investment ban part of new EU sanctions wave  - CNN,"The European Union formally approved on Tuesday a new barrage of sanctions against Russia for its invasion of Ukraine, which include bans on investments in the Russian energy sector, luxury goods exports and imports of steel products from Russia.","business, Russian energy investment ban part of new EU sanctions wave  - CNN",EU bans investment in Russian energy in new sanctions barrage,"The European Union formally approved on Tuesday a new barrage of sanctions against Russia for its invasion of Ukraine, which include bans on investments in the Russian energy sector, luxury goods exports and imports of steel products from Russia.The sanctions, which come into effect after publication in the EU official journal later on Tuesday, also freeze the assets of more business leaders who support the Russian state, including Chelsea football club owner Roman Abramovich. The European Commission said in a statement on Tuesday that the sanctions included ""a far-reaching ban on new investment across the Russian energy sector with limited exceptions for civil nuclear energy and the transport of certain energy products back to the EU.""The measure will hit Russia's oil majors Rosneft, Transneft and Gazprom Neft (GZPFY), but EU members will be still able to buy oil and gas from them, an EU source told Reuters.There will also be a total ban on transactions with some Russian state-owned enterprises linked to the Kremlin's military-industrial complex, the EU executive said.Read MoreThe bloc reached a preliminary agreement on the new sanctions on Monday, and no objections were raised before an agreed deadline.The ban on Russian steel imports is estimated to affect 3.3 billion euros ($3.6 billion) worth of products, the Commission said.EU companies will also be no longer allowed to export any luxury goods worth more than 300 euros, including jewelry. Exports of cars costing more than 50,000 euros will also be banned, EU sources said.The package also prohibits EU credit rating agencies from issuing ratings for Russia and Russian companies, which the Commission says will further restrict their access to European financial markets.The latest sanctions follow three rounds of punitive measures which included freezing of assets of the Russian central bank and the exclusion from the SWIFT banking system of some Russian and Belarusian banks.The EU also agreed on Tuesday to strip Russia of its ""most-favored nation"" trade status, opening the door to punitive tariffs on Russian goods or outright import bans.UK slaps 35% tariff on Russian vodkaThe UK government also announced a fresh round of sanctions on Russia on Tuesday. It will ban the export of luxury goods to Russia and will introduce tariffs on Russian goods worth more than $1 billion. The additional 35% tariff will be applied to imports including vodka, steel, works of art and fur. The United Kingdom will also deny Russia and Belarus access to its most favoured nation trading tariff for hundreds of their exports, effectively depriving both countries of key benefits of their WTO membership.""Our new tariffs will further isolate the Russian economy from global trade, ensuring it does not benefit from the rules-based international system it does not respect. These tariffs build on the UK's existing work to starve Russia's access to international finance, sanction Putin's cronies and exert maximum economic pressure on his regime,"" finance minister Rishi Sunak said in a statement.— CNN's Rob North contributed to this article. ",489
1,9,"Oliver Darcy, CNN Business",2022-03-14 19:12:28,business,media,https://www.cnn.com/2022/03/14/media/fox-correspondent-ben-hall-ukraine/index.html,Benjamin Hall: Fox News correspondent hospitalized after being injured in Ukraine - CNN,"Fox News correspondent Benjamin Hall, who had been deployed in recent weeks to cover the war in Ukraine, has been hospitalized after being injured while reporting near Kyiv, the network said on Monday.","media, Benjamin Hall: Fox News correspondent hospitalized after being injured in Ukraine - CNN",Fox News correspondent hospitalized after being injured in Ukraine,"New York (CNN Business)Fox News correspondent Benjamin Hall, who had been deployed in recent weeks to cover the war in Ukraine, has been hospitalized after being injured while reporting near Kyiv, the network said on Monday.""We have a minimal level of details right now, but Ben is hospitalized and our teams on the ground are working to gather additional information as the situation quickly unfolds,"" Fox News chief executive Suzanne Scott said in a memo to employees.""The safety of our entire our entire team of journalists in Ukraine and the surrounding regions is our top priority and of the utmost importance,"" Scott added. ""This is a stark reminder for all journalists who are putting their lives on the line every day to deliver the news from a war zone.""Scott said Fox would provide further updates when the network knows more.""Please keep Ben and his family in your prayers,"" Scott wrote in her memo.Fox correspondent Benjamin HallRead MoreHall started his career as a war correspondent, reporting from the Middle East and Africa and filing reports for several news organizations, including The New York Times, Sunday Times, Agence France-Presse, and BBC.In 2015, Hall joined Fox. In his role for the network, he has filed reports over the years from dangerous conflict zones, including Syria, Iraq, and Afghanistan.Hall currently serves as Fox's State Department correspondent. He is also the author of ""Inside ISIS: The Brutal Rise of a Terrorist Army.""Iryna Venediktova, prosecutor general of Ukraine, said in a Facebook post that the attack on Hall was more evidence of Russia's violence against civilians. Venediktova said she intends to focus ""on those war crimes that have affected the citizens of our partner countries,"" according to a Google translation of her post.Shaun Tandon, president of the State Department Correspondents Association, also spoke out Monday about the attack.""We are horrified to learn that our fellow correspondent Benjamin Hall was injured as he covered the Ukraine war,"" Tandon said in a statement. ""We know Ben for his warmth, good humor and utmost professionalism. We wish Ben a quick recovery and call for utmost efforts to protect journalists who are providing an invaluable service through their coverage in Ukraine.""Hall's injury comes one day after Brent Renaud, an award-winning American journalist, was killed in the Ukrainian city of Irpin.Andriy Nebitov, the head of the Kyiv region police, said that Russian forces shot Renaud, adding that ""the occupants cynically kill even journalists of international media, who've been trying to tell the truth about atrocities of Russian military in Ukraine.""Another journalist, Juan Arredondo, was also wounded in Ukraine on Sunday.Press freedom groups have denounced the violence journalists are facing while covering the war. The Committee to Protect Journalists, after the death of Renaud, called on Russian forces to ""stop all violence against journalists and other civilians at once.""",467
2,14,Reuters,2022-03-15 04:49:54,business,investing,https://www.cnn.com/2022/03/15/investing/japan-crypto-exchanges-russia-sanctions-intl-hnk/index.html,Japan orders crypto exchanges to comply with sanctions against Russia and Belarus - CNN,Japanese authorities ordered crypto exchanges on Monday not to process transactions involving crypto assets subject to asset-freeze sanctions against Russia and Belarus over the war in Ukraine.,"investing, Japan orders crypto exchanges to comply with sanctions against Russia and Belarus - CNN",Japan orders crypto exchanges to comply with sanctions against Russia,"Japanese authorities ordered crypto exchanges on Monday not to process transactions involving crypto assets subject to asset-freeze sanctions against Russia and Belarus over the war in Ukraine.The step was taken after a Group of Seven (G7) statement on Friday that said Western nations ""will impose costs on illicit Russian actors using digital assets to enhance and transfer their wealth.""There are growing concerns among G7 advanced economies that cryptocurrencies are being used by Russian entities as a loophole for financial sanctions imposed upon the country for invading Ukraine.The US Treasury Department issued new guidance on Friday that required US-based cryptocurrency firms not to engage in transactions with sanction targets.""We decided to make an announcement to keep the G7 momentum alive,"" said a senior official at Japan's Financial Services Agency. ""The sooner the better.""Read MoreCoinbase, Binance resist calls to kick Russians off crypto platformsThe Japanese government will strengthen measures against the transfer of funds using crypto assets that would violate the sanctions, the FSA and the Ministry of Finance said in a joint statement.Japan has lagged a global shift among financial regulators in setting stricter rules on private digital currencies, while the G7 rich powers and the Group of 20 powerhouses have all called for greater regulation of ""stablecoins.""Unauthorized payments to targets under sanctions, including through crypto assets, are subject to punishment of up to three years in prison or a 1 million yen ($8,487.52) fine, the FSA said on Monday.There were 31 crypto exchanges in Japan as of March 4, according to an industry association.Global regulators remain concerned about the safety of the new market for investors, given its surge in popularity. The U.S. Securities and Exchange Commission has cited the potential for market manipulation as one of the primary reasons for rejecting several applications for spot bitcoin exchange-traded funds.",299
3,17,"Brian Fung, CNN",2022-03-14 16:20:37,business,tech,https://www.cnn.com/2022/03/14/tech/meta-guidance-heads-of-state/index.html,Meta says it doesn't allow calls for assassinating heads of state - CNN,"Meta, the parent company of Facebook and Instagram, issued a reminder on Sunday that it prohibits calls on its platforms for the assassination of high-ranking world leaders, following intense scrutiny of the company's decision last week to relax hate speech policies in Ukraine.","tech, Meta says it doesn't allow calls for assassinating heads of state - CNN",Meta says it doesn't allow calls for assassinating heads of state," (CNN Business)Meta (FB), the parent company of Facebook and Instagram, issued a reminder on Sunday that it prohibits calls on its platforms for the assassination of high-ranking world leaders, following intense scrutiny of the company's decision last week to relax hate speech policies in Ukraine.In an internal post to employees, Meta President of Global Affairs Nick Clegg said ""we do not permit calls to assassinate a head of state."" Russia opens criminal case against Meta following temporary hate speech policy changeThe internal post, which was reported by Bloomberg and Reuters and confirmed to CNN Business by a Meta spokesperson, does not mention Russian President Vladimir Putin by name. The spokesperson affirmed that the restrictions on calls for assassination apply globally. Meta's earlier decision allows Ukrainian users to post otherwise prohibited calls for violent self-defense or condemnation of Russia's invasion, and effectively created more leeway for users in the country to express support for violence on Meta's platforms. (On Sunday, Mykhailo Fedorov, Ukraine's Minister of Digital Transformation thanked Meta and said the decision ""respect[ed] our right to counter the aggression"" from Russia.)But Meta was forced to clarify its stance after Russia accused it of facilitating ""illegal calls for murder and violence"" against Russian citizens and opened a criminal case against the company. Russia has separately moved to block Facebook and Instagram in the country as part of a crackdown on information about the war in Ukraine, though a growing number of Russian internet users appear determined to circumvent the ban.  Read MoreThe Ukraine-specific policy on hate speech, which is temporary, is ""focused on protecting people's rights to speech as an expression of self-defense in reaction to a military invasion of their country,"" Clegg said in a public statement Friday. The statement added that Meta has ""no quarrel with the Russian people"" and that ""there is no change at all in our policies on hate speech as far as the Russian people are concerned.""Clegg's internal post on Sunday doubled down on that position.""We are now narrowing the focus to make it explicitly clear in the guidance that it is never to be interpreted as condoning violence against Russians in general,"" Clegg wrote, adding that the hate-speech carveout for Ukraine applies only to speech ""regarding the Russian military invasion.""",376
4,18,"Matt Egan, CNN Business",2022-03-14 12:55:43,business,investing,https://www.cnn.com/2022/03/14/investing/citi-russia/index.html,Citi expands its exit from Russia - CNN,"Citigroup, the major US bank with the biggest footprint in Russia, said Monday it will expand its exit from Russia to go beyond the long-planned sale of its consumer bank there.","investing, Citi expands its exit from Russia - CNN",Citi expands its exit from Russia,"New York (CNN Business)Citigroup, the major US bank with the biggest footprint in Russia, said Monday it will expand its exit from Russia to go beyond the long-planned sale of its consumer bank there.Citi said in a statement it has decided to ""expand the scope"" of its exit process to include ""other lines of business and continue to reduce our remaining operations and exposure"" in Russia.""Due to the nature of banking and financial services operations, this decision will take time to execute,"" Citi said, adding that it is ""moving with urgency"" to complete the assessment of its Russia operations.Here are the companies pulling back from RussiaCiti did not detail specifically which operations will be unwound, but the bank provides investment and corporate banking services in Russia to institutions and high net-worth individuals. In April 2021, Citi disclosed its intent to exit its consumer business in Russia.Citi's latest announcement comes after Goldman Sachs and JPMorgan announced last week they will leave Russia. Deutsche Bank on Friday said it will get out of Russia, reversing its previous position.Read MoreCiti has nearly $10 billion worth of exposure to Russia as of the end of last year, according to regulatory filings. ""We will continue to manage our existing regulatory commitments and our obligations to depositors, as well as support all of our employees during this very difficult time,"" Citi said Monday.",227
5,28,"Anneken Tappe, CNN Business",2022-03-14 20:07:38,business,economy,https://www.cnn.com/2022/03/14/economy/federal-reserve-biden-bloom-raskin/index.html,Biden's plan to reshape the Fed just hit a hurdle - CNN,President Joe Biden planned to reshape the Federal Reserve through his nominations. But Senator Joe Manchin threw a wrench into those plans Monday.,"economy, Biden's plan to reshape the Fed just hit a hurdle - CNN",Biden's plan to reshape the Fed just hit a hurdle,"New York (CNN Business)President Joe Biden planned to reshape the Federal Reserve through his nominations for the three vacant seats on the board of governors. But Democratic Sen. Joe Manchin of West Virginia threw a wrench into those plans Monday.The crux of the matter is the nomination of Sarah Bloom Raskin, a former deputy Treasury secretary and a governor of the Federal Reserve Board during the Obama administration, who is facing opposition in a divided Senate.Raskin's stance on environmental issues, including her view on the transition away from fossil fuels, are colliding with soaring gas prices and a renewed debate about oil independence in the face of the Russia-Ukraine conflict.""Her previous public statements have failed to satisfactorily address my concerns about the critical importance of financing an all-of-the-above energy policy to meet our nation's critical energy needs,"" Manchin said in a statement on Monday announcing his opposition to Raskin's nomination. Manchin is not a member of the Senate Banking Committee that will be voting on Raskin's candidacy.The US Chamber of Commerce already voiced concern over her nomination to be the vice chair of supervision -- essentially the Fed's top banking regulator -- in January. And a month ago, Senate Republicans boycotted a vote in protest of Raskin's nomination, halting a slate of pending nominees for the central bank.Read MoreThe renomination of Fed Chairman Jerome Powell for another term is also stalled. Even though Powell is enjoying support on both sides of the aisle, he hasn't been fully confirmed yet, leaving him with the title add-on ""pro tempore"" for now.All this comes at a time when Fed policy has taken center stage amid rampant inflation. Consumer prices haven't risen at this fast a pace since 1982.The central bank is expected to raise interest rates by a quarter-percentage point this week in an effort to curb demand and bring prices under control.Meanwhile, the White House continued to stand behind Raskin's nomination. Biden has pledged to make the Fed more diverse in terms of both its gender and racial make up. The president also nominated Philip Jefferson and Lisa Cook to join the central bank. Cook would be the first Black woman to serve at the Fed in its history.""Sarah Bloom Raskin is one of the most qualified people to have ever been nominated for the Federal Reserve Board of Governors -- she previously served on the Board and she served as second-in-command at Treasury, both positions where she earned bipartisan Senate confirmation,"" a White House official said.The administration was working to line up bipartisan support for her confirmation, the official added, calling the adversity surrounding her nomination an ""unprecedented, baseless campaign led by oil and gas companies.""CNN's Manu Raju and Phil Mattingly contributed to this report.",454
6,31,"Chris Isidore, CNN Business",2022-03-14 18:33:48,business,business,https://www.cnn.com/2022/03/14/business/ford-gm-eliminate-options-chip-shortage/index.html,Ford will start shipping Explorers without all the parts -- and add them later - CNN,The auto industry has a saying: You can't build a car with 99% of the parts. But the computer chip shortage is proving that adage wrong.,"business, Ford will start shipping Explorers without all the parts -- and add them later - CNN",Ford will start shipping Explorers without all the parts — and add them later,"New York (CNN Business)The auto industry has a saying: You can't build a car with 99% of the parts. But the computer chip shortage is proving that adage wrong.Ford (F) will begin shipping Explorer SUVs without all of its chips to address the tight inventory of vehicles available for sale at dealerships.The automaker disclosed this weekend that it would build Explorers without rear-seat controls for the air conditioner and heat. The driver and front-seat passenger will still be able to adjust climate controls for backseat passengers — but people in the back won't be able to change the temperature themselves.""We're doing this as a way to get our customers their vehicles sooner,"" said Ford spokesperson Said Deep. He said Ford had already offered buyers of its best-selling F-150 pickup a choice: They could give up a fuel-saving feature called ""start-stop"" and get a $50 credit — or they could wait for the truck to be built with the feature. Start-stop automatically turns the engine off when the truck comes to a complete stop, and restarts it when the driver takes his or her foot off the brake.Read MoreThe start-stop option is only available at the time an F-150 is built, and cannot be added after the fact. But Deep said Ford will be able to install the rear-seat climate control feature on Explorers shipped without the feature once the chips become available. It will be added at dealerships at no cost to the owners.Virtually all automakers have been forced to temporarily shut production at some of their factories over the last year and a half due to the lack of computer chips and, in some cases, other parts. The reduced inventories of new vehicles for sale have lifted car prices to record levels — a major factor in America's highest rate of inflation in nearly 40 years.Why car prices remain so stubbornly highFord is not the only automaker shipping vehicles without all the features they were designed to include. Last year General Motors was forced to temporarily stop offering several features, including a fuel management module designed to improve mileage in the Chevrolet Silverado and GMC Sierra pickups by about one mile per gallon. GM also stopped offering a stop-start feature on some of its heavy-duty pickups.GM also had to exclude some comfort features, such as heated and cooled seats in a variety of models, the adjustable lumbar support in the Cadillac XT4, as well as parking assist features. But GM (GM) also expects it will be able to offer a free retrofit for those features once the chips become available.",431
7,44,"Anna Cooban, CNN Business",2022-03-08 15:56:50,business,business,https://www.cnn.com/2022/03/08/business/nickel-prices-electric-vehicles/index.html,Soaring nickel prices could be the next major headache for automakers - CNN,"Nickel prices have soared to all-time highs in the wake of Russia's invasion of Ukraine, threatening the global transition to electric vehicles. ","business, Soaring nickel prices could be the next major headache for automakers - CNN",Soaring nickel prices could be the next major headache for automakers,"London (CNN Business)Nickel prices have soared to all-time highs in the wake of Russia's invasion of Ukraine, threatening the global transition to electric vehicles. The London Metal Exchange suspended trading in nickel on Tuesday for the first time in its 145-year history after prices doubled in a matter of hours to $100,000 per metric ton.Prices eased back to about $80,000 per metric ton. But that's still far above the previous record of $52,000 per metric ton set in 2007. The metal is a key component in lithium-ion batteries used in EVs, and is one of several commodities that have spiked in price since Russia attacked its neighbor. Markets fear Western sanctions will limit exports from the region, resulting in supply shocks. Russia is the world's third biggest supplier of nickel behind Indonesia and the Philippines, making up about 13% of global mining capacity in 2021, according to Rystad Energy. Read More''The breathtaking rise of commodities is causing a whirlwind of anxiety on financial markets and exchanges, as traders speculate about the knock on effects of the Ukraine conflict,"" Susannah Streeter, senior investment and markets analyst at Hargreaves Lansdown, said in a research note on Tuesday. The rapid rise in nickel prices may have been caused by a short squeeze, said Streeter.Rising nickel prices are another potential headache for automakers who have spent the past year grappling with supply chain disruptions, plant shutdowns and a shortage of semiconductor chips.  James Ley, senior vice president of energy metals at Rystad Energy, told CNN Business that the nickel price surge was ""unprecedented"" and could theoretically push the cost of some EV batteries up by a third. But automakers are unlikely to feel the impact immediately as many will have locked in nickel prices through long-term contracts, he said. ""I think we need to see where nickel will eventually settle in price before fully understanding the long-term implications,"" Ley said. Global EV sales boomed last year, but higher battery or vehicle prices would cast doubt over whether the speed of the transition away from internal combustion engines can be maintained. Al Bedwell, director of global powertrain at LMC Automotive, said he expects nickel prices to stay elevated for some time. But surging oil and gasoline prices mean that people who were considering an electric car may not be easily dissuaded.""Whatever fuel one chooses, the cost of personal mobility will increase,"" Bedwell said. ",398
8,56,"Deidre McPhillips, CNN",2022-03-11 00:14:39,health,health,https://www.cnn.com/2022/03/10/health/covid-community-levels-cdc/index.html,Only 2% of Americans now live in counties with high Covid-19 levels - CNN,"Just 2% of the United States population -- about 7 million people -- lives in a county where the US Centers for Disease Control and Prevention still recommends universal indoor masking, according to the latest Covid-19 community level data.","health, Only 2% of Americans now live in counties with high Covid-19 levels - CNN",Only 2% of Americans now live in counties with high Covid-19 levels," (CNN)Just 2% of the United States population -- about 7 million people -- lives in a county where the US Centers for Disease Control and Prevention still recommends universal indoor masking, according to the latest Covid-19 community level data, updated by the CDC on Thursday.This is 16 million fewer people than just last week, when about 7% of the US population lived in a county considered to have a ""high"" community level. Two weeks ago, when the CDC first released the new metrics, about 28% of the US population lived in a county considered to have a high community level. According to Thursday's update, nearly 73% of the US population now lives in a county considered to have a ""low"" community level, where there is no recommendation for masking. The remaining 21% live in a county considered to have a ""medium"" community level, where the CDC recommends that immunocompromised people and those at high risk for severe disease consider taking extra precautions against Covid-19.This data ""can help counties make informed decisions and take appropriate public health actions,"" the CDC said in a statement. Get CNN Health's weekly newsletter Sign up here to get The Results Are In with Dr. Sanjay Gupta every Tuesday from the CNN Health team.Read MoreThe CDC's Covid-19 community level metrics are based on three things: new COVID-19 hospitalizations, hospital capacity and new COVID-19 cases. More than a third of the people who still live in counties considered to have a high Covid-19 community level are in Texas and Kentucky. Hidalgo County in south Texas is the most populous county to still have a high community level. Hawaii Gov. David Ige announced Tuesday that state mask mandate there will expire this month, making it the last state to drop this requirement.",294
9,59,"Joe Sutton, Danielle Hackett, Scott Glover and Sandra Gonzalez, CNN",2022-03-14 21:50:25,entertainment,entertainment,https://www.cnn.com/2022/03/14/entertainment/bob-saget-injunction/index.html,Bob Saget's family granted permanent injunction to block the release of records - CNN,A Florida judge on Monday blocked the release of certain records related to the death investigation of actor and comedian Bob Saget. ,"entertainment, Bob Saget's family granted permanent injunction to block the release of records - CNN",Bob Saget's family granted permanent injunction to block the release of records," (CNN)A Florida judge on Monday blocked the release of certain records related to the death investigation of actor and comedian Bob Saget. According to court minutes obtained by CNN affiliate WKMG, Ninth Judicial Circuit Judge Vincent Chiu granted the Saget family's petition for the permanent injuction.    The judge's decision came nearly a month after Saget's family filed a lawsuit to block the release of some records, citing privacy concerns, as CNN previously reported. ""The entire Saget family is grateful that the Judge granted their request for an injunction to preserve Bob's dignity, as well as their privacy rights, especially after suffering this unexpected and tragic loss. We are pleased this issue has been resolved, and the healing process can continue to move forward.  All of the prayers and well wishes continuously extended to the family are beyond appreciated,"" Saget family attorney Brian Bieber said in a statement to CNN.Saget, 65, was found dead in his hotel room in Orlando, Florida, in January. The Orange County Medical Examiner's Office determined that his death was accidental, most likely due to him falling backward and striking his head.Read MoreOn Monday, a source familiar with the investigation told CNN The Orange County, Fla., Sheriff's Department completed its investigation into Saget's death and issued a final report on the matter. The report's findings are consistent with the medical examiner's initial ruling that Saget's death was accidental in nature, according to the source, who is not authorized to speak publicly about the matterThe document is subject to the court order barring the release of any new information about the comedian's death""There are no surprises in the report,"" the source said.Saget's widow Kelly Rizzo and her three daughters last month filed a lawsuit against Orange County's sheriff and the medical examiner's office, requesting that some investigation records related to the death be exempt from being revealed publicly because of their graphic nature in how they portray the late actor.""In the process of these investigations, Defendants created records which include photographs, video recordings, audio recordings, statutorily protected autopsy information, and all other statutorily protected information,"" the lawsuit stated. ""Upon information and belief, some of these Records graphically depict Mr. Saget, his likeness or features, or parts of him, and were made by Defendants during Defendants' investigations.""The family argues in the lawsuit that the release of this information -- whether through a public records request or any other avenue -- would cause them to ""suffer irreparable harm in the form of extreme mental pain, anguish, and emotional distress.""CNN's Amy Simonson, Aya Elamroussi, Tina Burnside and Kate Conerlv contributed to this report.",432
